site,ENVIRONMENT,SOCIOECONOMIC,CHRONOLOGY,USI,elevation,species,part,sex,age,carbon,oxygen,nitrogen
Shagalaly,B - FOREST STEPPE,,BRONZE AGE,EA-SI-182,,red deer,,,,-20.58,,5.1
Shagalaly,B - FOREST STEPPE,,BRONZE AGE,EA-SI-183,,horse,,,,-19.96,,4.88
Shagalaly,B - FOREST STEPPE,,BRONZE AGE,EA-SI-184,,cattle,,,,-20.61,,4.41
Shagalaly,B - FOREST STEPPE,,BRONZE AGE,EA-SI-185,,caprine,,,,-19.75,,4.7
Shagalaly,B - FOREST STEPPE,,BRONZE AGE,EA-SI-187,,horse,,,,-20.74,,3.07
Shagalaly,B - FOREST STEPPE,,BRONZE AGE,EA-SI-188,,caprine,,,,-19.62,,4.64
Shagalaly,B - FOREST STEPPE,,BRONZE AGE,EA-SI-189,,cattle,,,,-19.28,,5.95
Shagalaly,B - FOREST STEPPE,,BRONZE AGE,EA-SI-190,,caprine,,,,-18.34,,9.68
Shagalaly-5,B - FOREST STEPPE,,BRONZE AGE,EA-SI-191,,caprine,,,,-20.22,,5.07
Koshkarbai-1,B - FOREST STEPPE,,BRONZE AGE,EA-SI-198,,caprine,,,,-20.49,,4.13
Shondykorasy-2,B - FOREST STEPPE,,IRON AGE,EA-SI-192,,caprine,,,,-20.17,,5.87
Ostrogorka,B - FOREST STEPPE,,IRON AGE,EA-SI-194,,horse,,,,-21.51,,4.46
Syganak,B - FOREST STEPPE,,MEDIEVAL,EA-SI-193,,dog,,,,-20.09,,9.58
Karazhartas,A - SEMI-ARID STEPPE,,IRON AGE,EA-SI-179,,caprine,,,,-17.48,,8.37
Taldysai,A - SEMI-ARID STEPPE,,BRONZE AGE,EA-SI-199,474,caprine,,,,-19.99,,5.06
Taldysai,A - SEMI-ARID STEPPE,,BRONZE AGE,EA-SI-200,474,horse,,,,-19.12,,8.92
Taldysai,A - SEMI-ARID STEPPE,,BRONZE AGE,EA-SI-202,474,caprine,,,,-19.07,,8.54
Taldysai,A - SEMI-ARID STEPPE,,BRONZE AGE,EA-SI-205,474,cattle,,,,-19.08,,8.98
Taldysai,A - SEMI-ARID STEPPE,,BRONZE AGE,EA-SI-208,474,caprine,,,,-18.81,,9.66
Taldysai,A - SEMI-ARID STEPPE,,BRONZE AGE,EA-SI-209,474,cattle,,,,-19.66,,10.7
Tankara,A - SEMI-ARID STEPPE,,BRONZE AGE,BTC-11,,caprine,,,,-19.91,,6.32
Zhartas,A - SEMI-ARID STEPPE,NOMADIC,IRON AGE,EA-SI-178,,caprine,,,,-17.7,,9.78
Taksai-1,C - WEST STEPPE,,IRON AGE,EA-SI-132,,horse,,,,-19.57,,5.85
Taksai-2,C - WEST STEPPE,,IRON AGE,EA-SI-133,,horse,,,,-19.96,,6.28
Taksai-2,C - WEST STEPPE,,IRON AGE,EA-SI-134,,horse,,,,-19.83,,7.18
Taksai-2,C - WEST STEPPE,,IRON AGE,EA-SI-135,,horse,,,,-20.19,,5.83
Taksai-2,C - WEST STEPPE,,IRON AGE,EA-SI-136,,horse,,,,-20.18,,
Taksai-2,C - WEST STEPPE,,IRON AGE,EA-SI-137,,horse,,,,-19.75,,8.23
Taksai-2,C - WEST STEPPE,,IRON AGE,EA-SI-138,,cattle,,,,-19.72,,7.68
Taksai-2,C - WEST STEPPE,,IRON AGE,EA-SI-139,,cattle,,,,-19.25,,7.9
Taksai-2,C - WEST STEPPE,,IRON AGE,EA-SI-140,,caprine,,,,-18.73,,7.7
Taksai-2,C - WEST STEPPE,,IRON AGE,EA-SI-141,,caprine,,,,-19.46,,6.77
Taksai-2,C - WEST STEPPE,,IRON AGE,EA-SI-142,,caprine,,,,-20.31,,5.58
Taksai-2,C - WEST STEPPE,,IRON AGE,EA-SI-143,,caprine,,,,-20.62,,5.82
Taksai-2,C - WEST STEPPE,,IRON AGE,EA-SI-146,,caprine,,,,-20.83,,5.98
Taksai-3,C - WEST STEPPE,,IRON AGE,EA-SI-147,,horse,,,,-20.75,,5.1
Taksai-3,C - WEST STEPPE,,IRON AGE,EA-SI-149,,horse,,,,-21.02,,5.57
Taksai-3,C - WEST STEPPE,,IRON AGE,EA-SI-150,,caprine,,,,-19.47,,6.54
Taksai-3,C - WEST STEPPE,,IRON AGE,EA-SI-151,,caprine,,,,-19.12,,7.66
Babish-Mulla-7,F - DESERT OASES,,IRON AGE,EA-SI-167,,cattle,,,,-16.81,,8.62
Babish-Mulla-7,F - DESERT OASES,,IRON AGE,EA-SI-168,,caprine,,,,-17.96,,9.76
Babish-Mulla-7,F - DESERT OASES,,IRON AGE,EA-SI-170,,caprine,,,,-17.04,,8.56
Babish-Mulla-7,F - DESERT OASES,,IRON AGE,EA-SI-172,,caprine,,,,-15.68,,11.03
Chirik Rabat,F - DESERT OASES,,IRON AGE,EA-SI-173,,cattle,,,,-12.2,,10.16
Kyzylbulak-4,E - ARID/MOUNTAIN STEPPE,NOMADIC?,BRONZE AGE,EA-SI-152,1882,cattle,,,,-19.7,,3.4
Kyzylbulak-4,E - ARID/MOUNTAIN STEPPE,NOMADIC?,IRON AGE,EA-SI-153,1882,cattle,,,,-19.61,,7.95
Kyzylbulak-4,E - ARID/MOUNTAIN STEPPE,NOMADIC?,BRONZE AGE,EA-SI-154,1882,cattle,,,,-17.47,,6.01
Serektas,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,EA-SI-212,383,caprine,,,,-18.99,,6.38
Serektas ,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,EA-SI-213,383,caprine,,,,-18.49,,7.3
Serektas ,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,EA-SI-214,383,cattle,,,,-18.33,,8.89
Serektas ,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,EA-SI-215,383,horse,,,,-18.78,,8.63
Serektas ,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,EA-SI-216,383,horse,,,,-19.41,,7.93
Serektas-2,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,EA-SI-217,383,horse,,,,-19.29,,7.6
Serektas-2,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,EA-SI-219,383,horse,,,,-17.59,,11.74
Serektas-2,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,EA-SI-220,383,cattle,,,,-17.85,,8.52
Serektas-2,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,EA-SI-221,383,caprine,,,,-16.33,,7.63
Serektas-2,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,EA-SI-222,383,caprine,,,,-17.87,,4.92
Serektas-2,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,EA-SI-223,383,caprine,,,,-18.25,,8.92
Serektas-2,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,EA-SI-224,383,caprine,,,,-18.28,,9.73
Serektas-2,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,EA-SI-225,383,caprine,,,,-17.36,,8.79
Serektas-2,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,EA-SI-226,383,cattle,,,,-17.92,,9.54
Serektas-2,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,EA-SI-228,383,horse,,,,-18.1,,9.25
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,BRONZE AGE,EA-SI-155,1040,cattle,,,,-20.61,,5.02
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,BRONZE AGE,EA-SI-156,1040,cattle,,,,-18.99,,6.34
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,BRONZE AGE,EA-SI-159,1040,cattle,,,,-20.02,,5.87
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,BRONZE AGE,EA-SI-161,1040,horse,,,,-20.12,,5.77
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,BRONZE AGE,EA-SI-162,1040,caprine,,,,-19.01,,5.46
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,BRONZE AGE,EA-SI-163,1040,caprine,,,,-19.97,,5.24
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,BRONZE AGE,EA-SI-164,1040,caprine,,,,-19.71,,5.35
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,BRONZE AGE,EA-SI-165,1040,caprine,,,,-18.82,,7.03
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,BRONZE AGE,EA-SI-166,1040,caprine,,,,-19.83,,4.97
Akbeit ,A - SEMI-ARID STEPPE,NOMADIC?,IRON AGE,LT-KZ-1,,human,,,,-18,,14.5
Baike-2,A - SEMI-ARID STEPPE,,IRON AGE,LT-KZ-23,,human,,,,-19.1,,14.8
Bakybulak ,A - SEMI-ARID STEPPE,,IRON AGE,LT-KZ-19,,human,,,,-18.4,,13.6
Karakemer,A - SEMI-ARID STEPPE,,IRON AGE,LT-KZ-24,,human,,,,-17.9,,14.9
Karashoky,A - SEMI-ARID STEPPE,NOMADIC?,IRON AGE,LT-KZ-4,,human,,,,-17.8,,15.1
Karashoky,A - SEMI-ARID STEPPE,NOMADIC?,IRON AGE,LT-KZ-3,,human,,,,-18,,15.1
Karashoky,A - SEMI-ARID STEPPE,NOMADIC?,IRON AGE,LT-KZ-2,,human,,,,-16.1,,14.6
Karatobe ,A - SEMI-ARID STEPPE,,IRON AGE,LT-KZ-41,,human,,,,-17.8,,14.7
Karatobe ,A - SEMI-ARID STEPPE,,LATE ANTIQUITY,LT-KZ-40,,human,,,,-16.00,,13.3
Karatobe ,A - SEMI-ARID STEPPE,,IRON AGE,LT-KZ-39,,human,,,,-17.6,,15.2
Kotyrkora,A - SEMI-ARID STEPPE,,IRON AGE,LT-KZ-42,,human,,,,-17.8,,13.2
Kyzylshilik,A - SEMI-ARID STEPPE,,IRON AGE,LT-KZ-21,,human,,,,-22.1,,13.5
Myrzhyk-6,A - SEMI-ARID STEPPE,,IRON AGE,LT-KZ-18,,human,,,,-16.8,,15.2
Shatyrkul',A - SEMI-ARID STEPPE,,IRON AGE,LT-KZ-9,,human,,,,-15,,13.7
Shatyrkul',A - SEMI-ARID STEPPE,,IRON AGE,LT-KZ-8,,human,,,,-14.1,,13.8
Shatyrkul',A - SEMI-ARID STEPPE,,IRON AGE,LT-KZ-7,,human,,,,-13.9,,13.1
Shatyrkul',A - SEMI-ARID STEPPE,,IRON AGE,LT-KZ-6,,human,,,,-15.6,,14.4
Shatyrkul',A - SEMI-ARID STEPPE,,IRON AGE,LT-KZ-5,,human,,,,-12.8,,13.3
Shatyrkul',A - SEMI-ARID STEPPE,,IRON AGE,LT-KZ-17,,human,,,,-15.8,,13.7
Shatyrkul',A - SEMI-ARID STEPPE,,IRON AGE,LT-KZ-16,,human,,,,-12.2,,12.8
Shatyrkul',A - SEMI-ARID STEPPE,,IRON AGE,LT-KZ-15,,human,,,,-15,,14.8
Shatyrkul',A - SEMI-ARID STEPPE,,IRON AGE,LT-KZ-14,,human,,,,-15.1,,15
Shatyrkul',A - SEMI-ARID STEPPE,,IRON AGE,LT-KZ-13,,human,,,,-15.7,,15.7
Shatyrkul',A - SEMI-ARID STEPPE,,IRON AGE,LT-KZ-12,,human,,,,-15.5,,14.2
Shatyrkul',A - SEMI-ARID STEPPE,,IRON AGE,LT-KZ-11,,human,,,,-14.2,,14.1
Shatyrkul',A - SEMI-ARID STEPPE,,IRON AGE,LT-KZ-10,,human,,,,-15.7,,12.9
Tandaily ,A - SEMI-ARID STEPPE,,IRON AGE,LT-KZ-20,,human,,,,-19.6,,13.6
Tegiszhol,A - SEMI-ARID STEPPE,NOMADIC,IRON AGE,LT-KZ-25,,human,,,,-17.8,,14.6
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,IRON AGE,LT-KZ-38,1040,human,,,,-16.9,,13
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,IRON AGE,LT-KZ-37,1040,human,,,,-16,,13.5
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,IRON AGE,LT-KZ-36,1040,human,,,,-16.1,,12.6
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,IRON AGE,LT-KZ-35,1040,human,,,,-15.4,,11.6
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,IRON AGE,LT-KZ-34,1040,human,,,,-16.1,,12.1
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,IRON AGE,LT-KZ-33,1040,human,,,,-15.9,,12.5
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,IRON AGE,LT-KZ-32,1040,human,,,,-16.4,,12.3
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,IRON AGE,LT-KZ-31,1040,human,,,,-16,,11.9
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,IRON AGE,LT-KZ-30,1040,human,,,,-16.1,,12.6
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,IRON AGE,LT-KZ-29,1040,human,,,,-17.3,,13.5
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,IRON AGE,LT-KZ-28,1040,human,,,,-16.3,,13.3
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,IRON AGE,LT-KZ-27,1040,human,,,,-16.4,,13.8
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,IRON AGE,LT-KZ-26,1040,human,,,,-17.7,,13.4
Aktas,E - ARID/MOUNTAIN STEPPE,,LATE ANTIQUITY,CGG_2_016125 DA127,,human,,,,-15.5,,12
Almaly,E - ARID/MOUNTAIN STEPPE,,MEDIEVAL,CGG_2_016124 DA126,,human,,,,-14.8,,12.6
Besynshitobe,F - DESERT OASES,,LATE ANTIQUITY,CGG_2_019168 DA224,,human,,,,-19.4,,12.6
Birlik,A - SEMI-ARID STEPPE,,IRON AGE,CGG_2_015474 DA17,,human,,,,-18.3,,12.4
Butakty-1,E - ARID/MOUNTAIN STEPPE,NOMADIC,MEDIEVAL,CGG_2_019095 DA204,1150,human,,,,-12.6,,12.3
Esik,E - ARID/MOUNTAIN STEPPE,,MEDIEVAL,CGG_2_016122 DA124,,human,,,,-15.9,,11.2
Halvai,B - FOREST STEPPE,,LATE ANTIQUITY,CGG_2_015429 DA27,,human,,,,-18.2,,13.6
Janaturmus,E - ARID/MOUNTAIN STEPPE,,MEDIEVAL,CGG_2_016126 DA128,,human,,,,-17.3,,14.8
Karashoky-1,A - SEMI-ARID STEPPE,NOMADIC?,IRON AGE,CGG_2_015471 DA14,,human,,,,-18.5,,15.6
Karashoky-6,A - SEMI-ARID STEPPE,NOMADIC?,IRON AGE,CGG_2_015472 DA15,,human,,,,-17.7,,15.8
Kargaly-1,E - ARID/MOUNTAIN STEPPE,,IRON AGE,CGG_2_019115 DA221,,human,,,,-13,,15
Kok-Mardan,F - DESERT OASES,,LATE ANTIQUITY,CGG_2_016123 DA125,,human,,,,-16.1,,11.9
Kok-Mardan,F - DESERT OASES,,LATE ANTIQUITY,CGG_2_016119 DA121,,human,,,,-17.8,,12.7
Konyr-Tobe,F - DESERT OASES,NOMADIC,LATE ANTIQUITY,CGG_2_019104 DA206,180,human,,,,-15.8,,12.6
Kurgan Borli,A - SEMI-ARID STEPPE,,IRON AGE,CGG_2_015449 DA11,,human,,,,-16.7,,13.7
Kyzylasker,E - ARID/MOUNTAIN STEPPE,,IRON AGE,CGG_2_016127 DA129,,human,,,,-14.4,,12.8
Lisakovsk,B - FOREST STEPPE,NOMADIC?,MEDIEVAL,CGG_2_015425 DA23,,human,,,,-18.1,,13.3
Naurzum,B - FOREST STEPPE,,LATE ANTIQUITY,CGG_2_015432 DA30,,human,,,,-17.5,,14.6
Nazar-2,A - SEMI-ARID STEPPE,,IRON AGE,CGG_2_015473 DA16,,human,,,,-18,,14.8
Ornek,E - ARID/MOUNTAIN STEPPE,,IRON AGE,CGG_2_016128 DA130,,human,,,,-14.6,,15.2
Shidertinskoye-2,A - SEMI-ARID STEPPE,,IRON AGE,CGG_2_015338 DA18,,human,,,,-18.1,,12.1
Taldy-2,A - SEMI-ARID STEPPE,,IRON AGE,CGG_2_015470 DA13,,human,,,,-16.8,,14.5
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,IRON AGE,CGG_2_019126 DA223,1040,human,,,,-13.9,,12.4
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,IRON AGE,CGG_2_019092,1040,human,,,,-16.3,,13.5
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0937,,human,,,,-17.9,,14.2
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0939,,human,,,,-18.2,,12.2
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0940,,human,,,,-18.3,,13.1
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0941,,human,,,,-18.2,,13.5
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0942,,human,,,,-18.3,,12.6
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0945,,human,,,,-18.2,,12.2
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0946,,human,,,,-18.6,,12.9
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0947,,human,,,,-19.4,,10.6
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0948,,human,,,,-19,,11.4
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0949,,human,,,,-17.7,,13.4
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0950,,human,,,,-17.8,,13.4
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0951,,human,,,,-18,,13.9
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0952,,human,,,,-18.1,,14
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0953,,human,,,,-17.9,,13.9
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0954,,human,,,,-18,,15.6
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0955,,human,,,,-17.8,,14.4
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0956,,human,,,,-17.9,,14.5
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0957,,human,,,,-17.6,,13.9
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0960,,human,,,,-18,,13
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0962,,human,,,,-17.8,,15.1
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0963,,human,,,,-17.6,,15.6
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0964,,human,,,,-17.9,,13.2
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0965,,human,,,,-17.5,,14.6
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0966,,human,,,,-17.2,,15.6
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0967,,human,,,,-19,,12.3
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0968,,human,,,,-17.9,,13.1
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0969,,human,,,,-17.9,,11.9
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0970,,human,,,,-18.3,,10.8
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0971,,human,,,,-19.1,,11.6
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0972,,human,,,,-18.2,,15.6
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0973,,human,,,,-17.9,,14.1
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0975,,human,,,,-18,,12.8
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0976,,human,,,,-18,,12.6
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0977,,human,,,,-16.8,,14.8
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0978,,human,,,,-17.5,,14.5
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0979,,human,,,,-18.2,,12.3
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0980,,human,,,,-18.1,,12.4
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0981,,human,,,,-18.4,,12.2
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0982,,human,,,,-17.8,,13.6
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0983,,human,,,,-17.9,,13.4
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0984,,human,,,,-17.4,,14.4
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0985,,human,,,,-19.7,,11.3
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0986,,human,,,,-19.4,,14.8
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0988,,human,,,,-18,,13.8
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0989,,human,,,,-18.5,,12.5
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0990,,human,,,,-18.3,,11.9
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0991,,human,,,,-18.5,,12.2
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0992,,human,,,,-18.2,,12.1
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0993,,human,,,,-18.3,,12.9
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0994,,human,,,,-18.7,,11.7
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0995,,human,,,,-18.4,,12.6
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0996,,human,,,,-18.5,,11.5
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A0997,,human,,,,-18,,12.9
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A1000,,human,,,,-17.9,,14.9
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A1002,,human,,,,-17.7,,14.8
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A1005,,human,,,,-17.7,,13.4
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A1006,,human,,,,-17.7,,14.2
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A1008,,human,,,,-18.2,,14.2
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A1009,,human,,,,-18.3,,11.7
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A1010,,human,,,,-17.8,,13.3
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A1011,,human,,,,-18.2,,12.3
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A1012,,human,,,,-18.8,,11.2
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A1013,,human,,,,-19,,10.6
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A1014,,human,,,,-18.3,,12.8
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A1015,,human,,,,-19.1,,11.2
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A1016,,human,,,,-19,,11
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A1017,,human,,,,-19.3,,11.3
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A1018,,human,,,,-19.1,,11.1
Kamennyi Ambar,B - FOREST STEPPE,NOMADIC,BRONZE AGE,KA-5 A1024,,human,,,,-17.8,,12.9
Akimbek,A - SEMI-ARID STEPPE,NOMADIC,BRONZE AGE,KZ087,,human,,,,-18.5,,15.5
Akimbek,A - SEMI-ARID STEPPE,NOMADIC,BRONZE AGE,KZ065,,human,,,,-18.4,,12.9
Akimbek,A - SEMI-ARID STEPPE,NOMADIC,BRONZE AGE,KZ064,,human,,,,-18.2,,13.3
Akimbek,A - SEMI-ARID STEPPE,NOMADIC,BRONZE AGE,KZ063,,human,,,,-18.1,,14.1
Akimbek,A - SEMI-ARID STEPPE,NOMADIC,BRONZE AGE,KZ062,,human,,,,-18.4,,14.4
Aschisu,A - SEMI-ARID STEPPE,NOMADIC,BRONZE AGE,KZ076,,human,,,,-17.8,,13.6
Aschisu,A - SEMI-ARID STEPPE,NOMADIC,BRONZE AGE,KZ059,,human,,,,-18.4,,12.5
Aschisu,A - SEMI-ARID STEPPE,NOMADIC,BRONZE AGE,KZ058,,human,,,,-18.8,,11.7
Aschisu,A - SEMI-ARID STEPPE,NOMADIC,BRONZE AGE,KZ057,,human,,,,-18.4,,12.8
Aschisu,A - SEMI-ARID STEPPE,NOMADIC,BRONZE AGE,KZ056,,human,,,,-19.1,,11.5
Aschisu,A - SEMI-ARID STEPPE,NOMADIC,BRONZE AGE,KZ055,,human,,,,-18.6,,11.7
Aschisu,A - SEMI-ARID STEPPE,NOMADIC,BRONZE AGE,KZ054,,human,,,,-18.7,,11.9
Aschisu,A - SEMI-ARID STEPPE,NOMADIC,BRONZE AGE,KZ052,,human,,,,17.2,,14.2
Aschisu,A - SEMI-ARID STEPPE,NOMADIC,BRONZE AGE,KZ050,,human,,,,-18.9,,12.4
Ayapbergen,A - SEMI-ARID STEPPE,NOMADIC,BRONZE AGE,KZ051,,human,,,,-18.5,,12.3
Daryinskyi,A - SEMI-ARID STEPPE,NOMADIC,BRONZE AGE,KZ044,,human,,,,-17.7,,14.2
Daryinskyi,A - SEMI-ARID STEPPE,NOMADIC,BRONZE AGE,KZ043,,human,,,,-18.1,,14.2
Daryinskyi,A - SEMI-ARID STEPPE,NOMADIC,BRONZE AGE,KZ042,,human,,,,-18,,14.3
Kairakty,A - SEMI-ARID STEPPE,NOMADIC,BRONZE AGE,KZ102,,human,,,,-19,,11.6
Karatugai,A - SEMI-ARID STEPPE,NOMADIC,IRON AGE,KZ100,,human,,,,-18.8,,12.7
Karatugai,A - SEMI-ARID STEPPE,NOMADIC,IRON AGE,KZ099,,human,,,,-18.1,,14.3
Karatugai,A - SEMI-ARID STEPPE,NOMADIC,IRON AGE,KZ098,,human,,,,-17.8,,13.9
