site,ENVIRONMENT,SOCIOECONOMIC,CHRONOLOGY,USI,elevation,species,part,sex,age,carbon,oxygen,nitrogen
Kenelkel-18,B - FOREST STEPPE,,BRONZE AGE,GM_F105,,cattle,,,,-19.68,,5.12
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F10,,cattle,,,,-19.2,,6.33
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F11,,cattle,,,,-19.44,,7.57
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F12,,cattle,,,,-19.68,,6.12
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F13,,cattle,,,,-19.07,,8.75
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F14,,cattle,,,,-19.44,,6.97
Kainar Bulak-1,F - DESERT OASES,,LATE ANTIQUITY,GM_F18,,cattle,,,,-19.72,,6.98
Kainar Bulak-1,F - DESERT OASES,,LATE ANTIQUITY,GM_F24,,cattle,,,,-18.96,,8.62
Kainar Bulak-1,F - DESERT OASES,,LATE ANTIQUITY,GM_F29,,cattle,,,,-18.06,,7.87
Kainar Bulak-1,F - DESERT OASES,,LATE ANTIQUITY,GM_F31,,cattle,,,,-18.1,,8.8
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F52,,cattle,,,,-19.57,,5.84
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F53,,cattle,,,,-19.22,,7.66
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F54,,cattle,,,,-19.39,,7.81
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F55,,cattle,,,,-18.69,,6.79
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F56,,cattle,,,,-18.56,,7.21
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F57,,cattle,,,,-19.19,,7.39
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F58,,cattle,,,,-19.21,,7.33
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F59,,cattle,,,,-19.07,,8.01
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F60,,cattle,,,,-18.77,,7.08
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F61,,cattle,,,,-19.07,,7.94
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F62,,cattle,,,,-19.28,,8.4
Lisakovsk,B - FOREST STEPPE,NOMADIC?,BRONZE AGE,GM_F87,,cattle,,,,-19.75,,5.8
Lisakovsk,B - FOREST STEPPE,NOMADIC?,BRONZE AGE,GM_F89,,cattle,,,,-19.78,,5.73
Lisakovsk,B - FOREST STEPPE,NOMADIC?,BRONZE AGE,GM_F90,,cattle,,,,-19.75,,7.02
Lisakovsk,B - FOREST STEPPE,NOMADIC?,BRONZE AGE,GM_F95,,cattle,,,,-19.4,,5.61
Lisakovsk,B - FOREST STEPPE,NOMADIC?,BRONZE AGE,GM_F96,,cattle,,,,-19.27,,5.34
Lisakovsk,B - FOREST STEPPE,NOMADIC?,BRONZE AGE,GM_F97,,cattle,,,,-19.7,,6.59
Lisakovsk,B - FOREST STEPPE,NOMADIC?,BRONZE AGE,GM_F98,,cattle,,,,-19.54,,6.14
Lisakovsk,B - FOREST STEPPE,NOMADIC?,BRONZE AGE,GM_F99,,cattle,,,,-19.11,,5.87
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F65,,dog,,,,-17.7,,12.25
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F64,,dog,,,,-18.14,,10.27
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F63,,dog,,,,-18.96,,9.3
Kainar Bulak,F - DESERT OASES,,LATE ANTIQUITY,GM_F20,,dog,,,,-14.52,,13.36
Kainar Bulak,F - DESERT OASES,,LATE ANTIQUITY,GM_F21,,dog,,,,-18.08,,11.26
Temirlanovka,F - DESERT OASES,NOMADIC,LATE ANTIQUITY,GM_F01,320,dog,,,,-18.14,,8.75
Lisakovsk,B - FOREST STEPPE,NOMADIC?,BRONZE AGE,GM_F94,,horse,,,,-20.12,,5.82
Lisakovsk,B - FOREST STEPPE,NOMADIC?,BRONZE AGE,GM_F93,,horse,,,,-20.42,,6.12
Lisakovsk,B - FOREST STEPPE,NOMADIC?,BRONZE AGE,GM_F91,,horse,,,,-20.38,,6.53
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F75,,horse,,,,-20.16,,6.69
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F74,,horse,,,,-20.27,,6.17
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F73,,horse,,,,-20.69,,4.21
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F71,,horse,,,,-20.28,,5.36
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F69,,horse,,,,-20.49,,6.75
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F68,,horse,,,,-19.76,,6.9
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F67,,horse,,,,-20.26,,5.98
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F66,,horse,,,,-20.54,,5.95
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F10,,horse,,,,-19.32,,6.46
Kainar Bulak-1,F - DESERT OASES,,LATE ANTIQUITY,GM_F26,,horse,,,,-20.66,,4.45
Kainar Bulak-1,F - DESERT OASES,,LATE ANTIQUITY,GM_F17,,horse,,,J,-17.98,,8.45
Kainar Bulak-1,F - DESERT OASES,,LATE ANTIQUITY,GM_F16,,horse,,,,-20.08,,6.14
Kainar Bulak-1,F - DESERT OASES,,LATE ANTIQUITY,GM_F15,,horse,,,,-18.9,,7.89
Lisakovsk,B - FOREST STEPPE,,BRONZE AGE,GM_F100,,horse,,,,-20.85,,4.34
Kyrik Oba-2,C - WEST STEPPE,NOMADIC?,BRONZE AGE,GM_F07,,horse,,,,-20,,6.32
Kyrik Oba-2,C - WEST STEPPE,NOMADIC?,BRONZE AGE,GM_F06,,horse,,,,-20.23,,5.94
Kainar Bulak-1,F - DESERT OASES,,LATE ANTIQUITY,GM_F19,,wild deer,,,,-19.06,,5.9
Lisakovsk,B - FOREST STEPPE,,BRONZE AGE,GM_F81,,saiga,,,,-20.42,,5.32
Karagash,A - SEMI-ARID STEPPE,,pre-BRONZE AGE,GM_163,,human,,,,-18.2,,12.64
Oi-Dzailau VII,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,GM_028,,human,,,,-17.98,,12.83
Oi-Dzailau VII,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,GM_029,,human,,,,-18.51,,13.76
Oi-Dzailau VII,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,GM_025,,human,,,,-16.9,,13.89
Oi-Dzailau VII,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,GM_033,,human,,,,-16.15,,13.14
Oi-Dzailau VII,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,GM_035,,human,,,,-14.79,,14.51
Oi-Dzailau VII,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,GM_034,,human,,,,-14.44,,13.22
Oi-Dzailau VII,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,GM_020,,human,,,,-14.5,,13.38
Oi-Dzailau VII,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,GM_026,,human,,,,-13.71,,14.62
Oi-Dzailau VII,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,GM_024,,human,,,,-13.33,,14.73
Oi-Dzailau VII,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,GM_027,,human,,,,-14.06,,14.32
Oi-Dzailau VII,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,GM_022,,human,,,,-16.83,,13.73
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_149,,human,,,,-18.35,,13.77
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_112,,human,,,,-18.86,,11.49
Ormandy Bulak,B - FOREST STEPPE,,BRONZE AGE,GM_168,,human,,,,-19,,10.86
Kyzyl Bulak-1,E - ARID/MOUNTAIN STEPPE,NOMADIC?,BRONZE AGE,GM_036,,human,,,,-16.27,,12.76
Kyzyl Bulak-1,E - ARID/MOUNTAIN STEPPE,NOMADIC?,BRONZE AGE,GM_031,,human,,,,-18.41,,10.23
Kyzyl Bulak-1,E - ARID/MOUNTAIN STEPPE,NOMADIC?,BRONZE AGE,GM_021,,human,,,,-19.01,,9.72
Kyzyl Bulak-1,E - ARID/MOUNTAIN STEPPE,NOMADIC?,BRONZE AGE,GM_030,,human,,,,-17.63,,10.21
Karabatan,C - WEST STEPPE,,BRONZE AGE,GM_048,,human,,,,-17.52,,13.56
Kyrik-Oba-2,C - WEST STEPPE,NOMADIC?,BRONZE AGE,GM_113,,human,,,,-17.7,,13.2
Pavlodar- semipalatansk,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_165,,human,,,,-19.3,,13.9
Zhambyl,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_166,,human,,,,-18.8,,13
Akbidaik,B - FOREST STEPPE,,BRONZE AGE,GM_167,,human,,,,-18.2,,13.5
Karatumsk,D - MOUNTAIN/FOREST STEPPE,,BRONZE AGE,GM_164,,human,,,,-19.6,,13.9
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_049,,human,,,,-15,,13.37
Karatuma,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_050,,human,,,,-15.1,,14.83
